InventoryRecordID,Date,ProductID,WarehouseID,SupplierID,StockOnHand,ReorderPoint,SafetyStock,LeadTimeDays,PurchaseQty,DemandQty,StockoutFlag,InventoryValueINR,SupplierOTIF,FillRate,SlowMovingFlag,ExcessStockFlag,ExcessStockValueINR,BackorderQty,DaysOfInventory
INV-000001,2025-04-27,P018,W02,S09,27,82,27,18,77,69,0,139338.63,0.8527,0.971,0,0,0.0,2,11.74
INV-000002,2024-07-12,P029,W02,S01,23,47,22,6,45,38,0,101954.86,0.9873,1,0,0,0.0,0,18.16
INV-000003,2024-11-04,P028,W03,S01,34,28,11,9,4,23,0,43031.08,0.9534,1,0,0,0.0,0,44.35
INV-000004,2024-07-26,P052,W06,S05,31,23,8,12,0,21,0,68653.22,0.9066,1,0,0,0.0,0,44.29
INV-000005,2024-01-23,P004,W04,S09,30,21,9,9,0,18,0,77514.0,0.9429,1,0,0,0.0,0,50.0
INV-000006,2024-02-16,P009,W03,S08,102,102,40,36,46,70,0,70097.46,0.6542,1,0,0,0.0,0,43.71
INV-000007,2024-04-09,P013,W01,S07,35,53,16,5,29,35,0,69836.55,0.9498,1,0,0,0.0,0,30.0
INV-000008,2025-07-04,P011,W06,S08,18,24,9,35,17,22,0,77558.4,0.5579,1,0,0,0.0,0,24.55
INV-000009,2025-03-30,P027,W05,S07,3,36,9,8,33,27,1,3986.43,0.995,0.1111,0,0,0.0,24,3.33
INV-000010,2024-02-12,P030,W02,S04,4,18,7,30,25,17,0,6222.48,0.6349,1,0,0,0.0,0,7.06
INV-000011,2025-08-19,P009,W07,S01,83,116,41,9,54,79,0,57040.09,0.9403,1,0,0,0.0,0,31.52
INV-000012,2025-11-19,P057,W04,S03,32,26,10,17,4,17,0,62287.36,0.8334,1,0,0,0.0,0,56.47
